"","MID","FID","earn","earnu","wage","ww","hw","year","hrs"
"735",122173,122173,42000,6,26.25,50,32,1997,1600
"736",122174,122174,0,0,NA,0,0,1997,0
"737",122175,122175,20000,6,9.62,52,40,1997,2080
"738",122176,122176,0,0,NA,0,0,1997,0
"739",123001,123001,0,0,NA,0,0,1997,0
"740",123002,123002,0,0,NA,0,0,1997,0
"741",126003,126003,7000,6,5.49,51,25,1997,1275
"742",126030,126030,0,0,NA,0,0,1997,0
"743",126177,126177,24000,6,11.76,51,40,1997,2040
"744",127001,127001,0,0,NA,0,0,1997,0
"745",127003,127003,47000,6,25.82,52,35,1997,1820
"746",127004,127004,24000,6,10,48,50,1997,2400
"747",127030,127030,17000,6,8.17,52,40,1997,2080
"748",127031,127031,0,0,NA,0,0,1997,0
"749",127032,127032,0,0,NA,0,0,1997,0
"750",127033,127033,0,0,NA,0,0,1997,0
"751",127034,127034,0,0,NA,0,0,1997,0
"752",127170,127170,46000,6,19.66,52,45,1997,2340
"753",127171,127171,64000,6,27.35,52,45,1997,2340
"754",127172,127172,0,0,NA,0,0,1997,0
"755",127173,127173,0,0,NA,0,0,1997,0
"756",127174,127174,0,0,NA,0,0,1997,0
"757",128001,128001,9000,6,9.38,48,20,1997,960
"758",128002,128002,0,0,NA,0,0,1997,0
"759",128003,128003,62000,6,31.63,49,40,1997,1960
"760",128004,128004,50000,6,20,50,50,1997,2500
"761",128005,128005,19300,6,9.85,49,40,1997,1960
"762",128006,128006,49000,6,23.56,52,40,1997,2080
"763",128030,128030,0,0,NA,0,0,1997,0
"764",128031,128031,0,0,NA,0,0,1997,0
"765",128032,128032,0,0,NA,0,0,1997,0
"766",128033,128033,0,0,NA,0,0,1997,0
"767",128172,128172,25000,6,14.58,49,35,1997,1715
"768",128174,128174,36000,6,17.31,52,40,1997,2080
"769",129003,129003,0,0,NA,0,0,1997,0
"770",129005,129005,0,0,NA,0,0,1997,0
"771",129006,129006,0,0,NA,0,0,1997,0
"772",129007,129007,0,0,NA,0,0,1997,0
"773",129008,129008,0,0,NA,0,0,1997,0
"774",129031,129031,0,0,NA,0,0,1997,0
"775",129035,129035,0,0,NA,0,0,1997,0
"776",129036,129036,0,0,NA,0,0,1997,0
"777",129038,129038,0,0,NA,0,0,1997,0
"778",129039,129039,0,0,NA,0,0,1997,0
"779",129040,129040,0,0,NA,0,0,1997,0
"780",129041,129041,0,0,NA,0,0,1997,0
"781",129042,129042,0,0,NA,0,0,1997,0
"782",129043,129043,0,0,NA,0,0,1997,0
"783",129044,129044,0,0,NA,0,0,1997,0
"784",129045,129045,0,0,NA,0,0,1997,0
"785",129046,129046,0,0,NA,0,0,1997,0
"786",129047,129047,0,0,NA,0,0,1997,0
"787",129048,129048,0,0,NA,0,0,1997,0
"788",129196,129196,0,0,NA,0,0,1997,0
"789",129197,129197,0,0,NA,0,0,1997,0
"790",129199,129199,35000,6,14,50,50,1997,2500
"791",129202,129202,NA,9,NA,NA,NA,1997,NA
"792",129203,129203,0,0,NA,0,0,1997,0
"793",129204,129204,0,0,NA,0,0,1997,0
"794",129205,129205,0,0,NA,0,0,1997,0
"795",131001,131001,0,0,NA,0,0,1997,0
"796",131002,131002,6180,6,4.95,52,24,1997,1248
"797",131030,131030,NA,9,NA,52,50,1997,2600
"798",133001,133001,30000,6,11.54,50,52,1997,2600
"799",133002,133002,10000,6,12.2,41,20,1997,820
"800",133004,133004,26000,6,13.27,49,40,1997,1960
"801",133031,133031,0,0,NA,0,0,1997,0
"802",133174,133174,0,0,NA,0,0,1997,0
"803",133175,133175,5000,6,15.43,18,18,1997,324
"804",133176,133176,0,0,NA,0,0,1997,0
"805",133178,133178,21600,6,11.02,49,40,1997,1960
"806",133179,133179,0,0,NA,0,0,1997,0
"807",134001,134001,32000,6,16.84,50,38,1997,1900
"808",134002,134002,700,6,4.38,20,8,1997,160
"809",134003,134003,0,0,NA,0,0,1997,0
"810",134030,134030,0,0,NA,0,0,1997,0
"811",134031,134031,0,0,NA,0,0,1997,0
"812",134032,134032,0,0,NA,0,0,1997,0
"813",134171,134171,0,0,NA,0,0,1997,0
"814",134172,134172,0,0,NA,0,0,1997,0
"815",138001,138001,9000,6,NA,NA,NA,1997,NA
"816",138002,138002,7000,6,NA,52,NA,1997,NA
"817",138030,138030,50000,6,19.23,52,50,1997,2600
"818",138031,138031,5000,6,4.46,32,35,1997,1120
"819",138032,138032,0,0,NA,0,0,1997,0
"820",138033,138033,0,0,NA,0,0,1997,0
"821",138174,138174,2e+05,6,138.89,36,40,1997,1440
"822",139002,139002,56000,6,23.93,52,45,1997,2340
"823",145001,145001,0,0,NA,0,0,1997,0
"824",145002,145002,0,0,NA,0,0,1997,0
"825",145003,145003,1100,6,3.67,20,15,1997,300
"826",145030,145030,0,0,NA,0,0,1997,0
"827",145031,145031,0,0,NA,0,0,1997,0
"828",145170,145170,49000,6,24.5,50,40,1997,2000
"829",146002,146002,0,0,NA,0,0,1997,0
"830",150001,150001,NA,9,NA,44,45,1997,1980
