"","KID","MID"
"693",1141035,1141171
"694",1141036,1141173
"695",1141037,1141178
"696",1141175,1141173
"697",1141179,1141178
"698",1142031,1142003
"699",1142032,1142003
"700",1142033,1142171
"701",1142034,1142171
"702",1144036,1144174
"703",1144037,1144175
"704",1149030,1149170
"705",1150171,1150003
"706",1150172,1150003
"707",1151034,1151021
"708",1151036,1151006
"709",1151037,1151173
"710",1151038,1151006
"711",1151039,1151173
"712",1152038,1152176
"713",1154030,1154001
"714",1161030,1161171
"715",1163036,1163004
"716",1163037,1163171
"717",1163038,1163171
"718",1163039,1163173
"719",1163040,1163174
"720",1163041,1163174
"721",1163042,1163172
"722",1163043,1163173
"723",1163045,1163175
"724",1164033,1164173
"725",1166037,1166180
"726",1167041,1167032
"727",1167042,1167033
"728",1167043,1167032
"729",1167044,1167030
"730",1167045,1167030
"731",1167046,1167033
"732",1168035,1168003
"733",1168036,1168003
"734",1168037,1168008
"735",1168174,1168031
"736",1168175,1168031
"737",1169030,1169003
"738",1169031,1169003
"739",1178176,1178175
"740",1178177,1178175
"741",1179033,1179030
"742",1184039,1184174
"743",1184040,1184171
"744",1184041,1184174
"745",1184043,1184033
"746",1185032,1185173
"747",1185034,1185177
"748",1192033,1192003
"749",1192034,1192005
"750",1192035,1192003
"751",1200034,1200004
"752",1210031,1210171
"753",1213031,1213004
"754",1220030,1220171
"755",1220031,1220171
"756",1221031,1221171
"757",1221032,1221171
"758",1221033,1221170
"759",1221034,1221170
"760",1221035,1221172
"761",1221036,1221172
"762",1222034,1222004
"763",1222035,1222005
"764",1222185,1222004
"765",1222189,1222003
"766",1225031,1225170
"767",1227034,1227180
"768",1227035,1227193
"769",1227195,1227194
"770",1230031,1230030
"771",1233034,1233030
"772",1233035,1233030
"773",1236031,1236170
"774",1236032,1236172
"775",1241035,1241033
"776",1242032,1242171
"777",1242033,1242177
"778",1242034,1242176
"779",1242035,1242006
"780",1242036,1242176
"781",1242038,1242006
"782",1242039,1242177
"783",1254030,1254170
"784",1258030,1258003
"785",1258031,1258003
"786",1258032,1258171
"787",1258033,1258172
"788",1258034,1258171
"789",1260043,1260039
"790",1266030,1266002
"791",1266031,1266002
"792",1269033,1269171
"793",1274032,1274003
"794",1274033,1274003
"795",1281034,1281172
"796",1281035,1281173
"797",1281036,1281173
"798",1284031,1284170
"799",1284032,1284170
"800",1285030,1285005
"801",1285031,1285004
"802",1285032,1285005
"803",1285033,1285004
"804",1286032,1286004
"805",1286033,1286004
"806",1286175,1286173
"807",1290034,1290174
"808",1290035,1290174
"809",1292032,1292004
"810",1298031,1298005
"811",1298032,1298172
"812",1298033,1298005
"813",1302037,1302172
"814",1303032,1303173
"815",1303033,1303173
"816",1306031,1306170
"817",1315032,1315004
"818",1315033,1315004
"819",1315034,1315005
"820",1315035,1315005
"821",1315036,1315030
"822",1315039,1315030
"823",1332030,1332174
"824",1332032,1332174
"825",1332033,1332180
"826",1332181,1332180
"827",1335047,1335175
"828",1335048,1335174
"829",1335052,1335175
"830",1335053,1335179
"831",1335054,1335179
"832",1335056,1335183
"833",1336033,1336007
"834",1336034,1336007
"835",1336035,1336030
"836",1342031,1342170
"837",1345034,1345006
"838",1345035,1345004
"839",1351035,1351174
"840",1351036,1351174
"841",1355174,1355005
"842",1363031,1363170
"843",1368032,1368172
"844",1368180,1368179
"845",1376032,1376170
"846",1383035,1383170
"847",1383036,1383170
"848",1383037,1383031
"849",1383040,1383031
"850",1394035,1394033
"851",1394036,1394003
"852",1394037,1394033
"853",1394038,1394003
"854",1394039,1394032
"855",1397033,1397171
"856",1397034,1397172
"857",1397037,1397171
"858",1397038,1397172
"859",1398030,1398005
"860",1399035,1399008
"861",1399036,1399006
"862",1399037,1399175
"863",1399038,1399007
"864",1399039,1399007
"865",1399040,1399175
"866",1407032,1407172
"867",1411039,1411007
"868",1411043,1411004
"869",1411044,1411031
"870",1411045,1411004
"871",1411185,1411184
"872",1411186,1411184
"873",1411190,1411188
"874",1415031,1415004
"875",1426034,1426004
"876",1426036,1426002
"877",1426038,1426004
"878",1426040,1426002
"879",1430030,1430004
"880",1430031,1430004
"881",1431030,1431170
"882",1432031,1432170
"883",1434035,1434032
"884",1445035,1445173
"885",1445037,1445173
"886",1460030,1460008
"887",1468033,1468005
"888",1468034,1468005
"889",1468035,1468006
"890",1473032,1473170
"891",1475031,1475003
"892",1475032,1475003
"893",1480033,1480031
"894",1480034,1480031
"895",1485033,1485003
"896",1485034,1485003
"897",1494031,1494175
"898",1494032,1494175
"899",1498032,1498170
"900",1498034,1498172
"901",1498035,1498171
"902",1498037,1498171
"903",1498178,1498172
"904",1505030,1505004
"905",1516030,1516171
"906",1516031,1516170
"907",1516033,1516170
"908",1516172,1516171
"909",1522035,1522170
"910",1522036,1522008
"911",1522037,1522171
"912",1522038,1522175
"913",1522040,1522008
"914",1522041,1522175
"915",1522042,1522010
"916",1522043,1522010
"917",1523031,1523171
"918",1533032,1533003
"919",1533033,1533173
"920",1533034,1533173
"921",1537172,1537171
"922",1540178,1540177
"923",1541036,1541171
"924",1541037,1541005
"925",1541038,1541171
"926",1542031,1542006
"927",1542033,1542176
"928",1542034,1542005
"929",1542035,1542176
"930",1542036,1542005
"931",1542037,1542007
"932",1542039,1542006
"933",1542040,1542007
"934",1547031,1547003
"935",1547032,1547005
"936",1547033,1547003
"937",1551032,1551003
"938",1551037,1551003
"939",1559030,1559170
"940",1568033,1568173
"941",1568034,1568032
"942",1571037,1571176
"943",1571038,1571030
"944",1571039,1571030
"945",1571040,1571032
"946",1571181,1571171
"947",1572038,1572005
"948",1572040,1572005
"949",1572041,1572032
"950",1579042,1579006
"951",1583031,1583003
"952",1591033,1591171
"953",1591034,1591171
"954",1591035,1591172
"955",1591036,1591172
"956",1597030,1597003
"957",1597031,1597003
"958",1608032,1608030
"959",1608033,1608030
"960",1610031,1610030
"961",1611032,1611005
"962",1611033,1611174
"963",1611034,1611174
"964",1611177,1611004
"965",1612030,1612170
"966",1613036,1613172
"967",1613038,1613172
"968",1613039,1613007
"969",1613041,1613176
"970",1613042,1613007
"971",1621031,1621003
"972",1621032,1621003
"973",1624035,1624174
"974",1624036,1624003
"975",1624037,1624003
"976",1627032,1627030
"977",1628032,1628004
"978",1628033,1628004
"979",1632030,1632170
"980",1633174,1633170
"981",1633175,1633170
"982",1633178,1633177
"983",1634032,1634172
"984",1634033,1634172
"985",1644030,1644004
"986",1644032,1644004
"987",1645031,1645004
"988",1645032,1645004
"989",1648032,1648172
"990",1648173,1648172
"991",1654031,1654170
"992",1654032,1654003
"993",1663034,1663003
"994",1663036,1663005
"995",1663037,1663003
"996",1663038,1663008
"997",1663040,1663009
"998",1663041,1663005
"999",1663042,1663009
"1000",1663043,1663007
"1001",1663046,1663006
"1002",1670034,1670007
"1003",1670035,1670030
"1004",1670036,1670030
"1005",1679030,1679004
"1006",1682033,1682004
"1007",1682034,1682175
"1008",1682035,1682175
"1009",1684034,1684006
"1010",1684035,1684006
"1011",1684036,1684005
"1012",1684037,1684005
"1013",1687031,1687170
"1014",1690033,1690170
"1015",1690034,1690170
"1016",1690035,1690174
"1017",1690036,1690174
"1018",1690172,1690171
"1019",1690173,1690171
"1020",1692038,1692030
"1021",1692039,1692030
"1022",1692040,1692031
"1023",1695045,1695181
"1024",1695046,1695011
"1025",1695047,1695030
"1026",1695048,1695037
"1027",1695050,1695010
"1028",1695051,1695205
"1029",1695052,1695205
"1030",1695054,1695034
"1031",1695064,1695063
"1032",1695199,1695037
"1033",1697044,1697006
"1034",1697045,1697006
"1035",1697046,1697037
"1036",1697047,1697037
"1037",1697048,1697032
"1038",1697049,1697182
"1039",1698031,1698170
"1040",1698173,1698004
"1041",1700036,1700005
"1042",1700038,1700005
"1043",1700039,1700175
"1044",1700180,1700179
"1045",1701032,1701004
"1046",1701033,1701004
"1047",1701034,1701003
"1048",1701035,1701178
"1049",1701036,1701178
"1050",1709183,1709182
"1051",1709184,1709182
"1052",1722037,1722031
"1053",1722038,1722033
"1054",1722040,1722035
"1055",1722184,1722183
"1056",1722185,1722183
"1057",1731031,1731003
"1058",1731032,1731004
"1059",1731033,1731003
"1060",1731035,1731004
"1061",1732030,1732008
"1062",1732031,1732008
"1063",1738032,1738003
"1064",1738033,1738003
"1065",1740032,1740170
"1066",1750031,1750003
"1067",1758033,1758173
"1068",1758034,1758173
"1069",1758035,1758175
"1070",1758036,1758175
"1071",1762040,1762006
"1072",1762041,1762032
"1073",1762042,1762006
"1074",1762043,1762032
"1075",1762044,1762030
"1076",1762045,1762180
"1077",1763035,1763006
"1078",1763036,1763006
"1079",1763038,1763030
"1080",1763040,1763030
"1081",1767032,1767004
"1082",1767033,1767180
"1083",1775033,1775004
"1084",1775035,1775004
"1085",1775037,1775005
"1086",1775038,1775006
"1087",1775039,1775006
"1088",1782033,1782030
"1089",1782034,1782174
"1090",1782035,1782030
"1091",1782175,1782174
"1092",1783030,1783002
"1093",1783170,1783002
"1094",1784033,1784005
"1095",1784035,1784005
"1096",1786045,1786182
"1097",1786047,1786008
"1098",1786048,1786003
"1099",1786049,1786182
"1100",1786050,1786010
"1101",1787035,1787171
"1102",1794032,1794170
"1103",1795033,1795005
"1104",1798039,1798034
"1105",1798040,1798176
"1106",1798041,1798033
"1107",1799038,1799006
"1108",1799039,1799006
"1109",1802033,1802170
"1110",1803030,1803003
"1111",1803031,1803003
"1112",1805033,1805174
"1113",1805034,1805174
"1114",1805175,1805003
"1115",1807035,1807170
"1116",1807037,1807030
"1117",1810043,1810003
"1118",1813032,1813003
"1119",1822034,1822171
"1120",1823033,1823170
"1121",1823034,1823004
"1122",1824176,1824002
"1123",1830033,1830003
"1124",1830034,1830004
"1125",1837034,1837172
"1126",1837035,1837172
"1127",1839034,1839031
"1128",1839035,1839031
"1129",1839036,1839174
"1130",1839038,1839174
"1131",1841035,1841171
"1132",1841036,1841171
"1133",1841037,1841003
"1134",1841039,1841003
"1135",1845030,1845003
"1136",1845031,1845003
"1137",1850033,1850172
"1138",1850034,1850172
"1139",1852032,1852030
"1140",1859031,1859171
"1141",1859033,1859171
"1142",1862032,1862030
"1143",1862033,1862030
"1144",1862173,1862172
"1145",1866032,1866171
"1146",1866033,1866170
