"","year","intnum","educ1","educ2","educ"
"1508",1999,2407,5000,0,5000
"1509",1999,4841,350,0,350
"1510",1999,315,1000,0,1000
"1513",1999,1371,1150,100,1250
"1514",1999,5011,0,0,0
"1516",1999,3307,5500,0,5500
"1521",1999,803,15000,0,15000
"1522",1999,972,0,0,0
"1523",1999,2015,32,0,32
"1524",1999,6605,0,0,0
"1527",1999,2137,0,0,0
"1528",1999,650,0,0,0
"1529",1999,3781,0,0,0
"1530",1999,1609,0,0,0
"1532",1999,2639,70,0,70
"1533",1999,2546,2000,0,2000
"1534",1999,2045,360,0,360
"1535",1999,4190,0,0,0
"1540",1999,3808,0,0,0
"1543",1999,241,0,0,0
"1544",1999,2228,0,0,0
"1545",1999,1147,0,0,0
"1546",1999,4660,NA,0,NA
"1547",1999,6242,0,0,0
"1548",1999,6849,0,0,0
"1551",1999,6418,3500,0,3500
"1552",1999,5685,100,0,100
"1553",1999,6878,0,0,0
"1554",1999,6982,0,0,0
"1560",1999,6984,0,0,0
"1563",1999,4102,0,0,0
"1564",1999,5051,0,0,0
"1565",1999,4879,0,0,0
"1566",1999,4387,460,0,460
"1568",1999,1438,0,0,0
"1569",1999,314,0,0,0
"1571",1999,483,2200,0,2200
"1572",1999,4607,0,0,0
"1576",1999,5821,0,0,0
"1580",1999,4304,0,0,0
"1581",1999,6348,0,0,0
"1582",1999,4907,360,0,360
"1583",1999,3573,150,250,400
"1584",1999,6767,0,0,0
"1593",1999,5069,0,0,0
"1594",1999,3836,0,0,0
"1596",1999,6362,0,0,0
"1599",1999,2829,75,450,525
"1600",1999,1782,80,0,80
"1601",1999,6524,1500,0,1500
"1602",1999,649,0,0,0
"1603",1999,511,0,0,0
"1604",1999,4519,0,0,0
"1605",1999,1938,0,0,0
"1606",1999,6291,700,0,700
"1612",1999,3729,3000,0,3000
"1613",1999,4322,1300,0,1300
"1618",1999,4800,25000,0,25000
"1619",1999,4,970,0,970
"1622",1999,18,0,0,0
"1623",1999,260,1400,0,1400
"1625",1999,414,0,0,0
"1628",1999,4353,850,0,850
"1629",1999,3085,0,0,0
"1632",1999,615,20,0,20
"1633",1999,3585,0,0,0
"1634",1999,268,1200,0,1200
"1635",1999,5013,0,0,0
"1636",1999,6284,75,0,75
"1641",1999,101,0,0,0
"1642",1999,1121,2300,0,2300
"1643",1999,360,3500,0,3500
"1644",1999,1398,1400,0,1400
"1650",1999,206,0,0,0
"1651",1999,205,0,0,0
"1654",1999,28,0,0,0
"1655",1999,753,0,0,0
"1656",1999,323,0,0,0
"1657",1999,33,100,0,100
"1661",1999,5032,0,0,0
"1663",1999,562,0,0,0
"1664",1999,229,0,0,0
"1665",1999,1315,0,0,0
"1666",1999,3820,325,0,325
"1667",1999,6383,0,0,0
"1668",1999,6216,0,0,0
"1669",1999,102,0,0,0
"1671",1999,1673,22400,900,23300
"1672",1999,539,10000,500,10500
"1673",1999,3214,15000,0,15000
"1680",1999,294,53700,0,53700
"1683",1999,1036,0,0,0
"1684",1999,1516,0,0,0
"1685",1999,5969,30,0,30
"1688",1999,2354,0,0,0
"1692",1999,4236,1000,0,1000
"1696",1999,389,0,0,0
"1697",1999,232,255,0,255
"1698",1999,1515,0,0,0
"1699",1999,720,0,0,0
"1701",1999,157,0,0,0
"1702",1999,472,5125,0,5125
"1707",1999,5270,0,0,0
"1708",1999,815,0,0,0
"1709",1999,1030,0,0,0
"1710",1999,3855,0,0,0
"1712",1999,5615,0,0,0
"1713",1999,3990,0,0,0
"1714",1999,2155,0,0,0
"1715",1999,5287,0,0,0
"1721",1999,2072,0,0,0
"1722",1999,1354,0,0,0
"1723",1999,4222,3000,0,3000
"1724",1999,1450,0,0,0
"1725",1999,4410,0,0,0
"1732",1999,3294,86,0,86
"1733",1999,3854,0,0,0
"1735",1999,3295,100,0,100
"1736",1999,2071,0,0,0
"1740",1999,4063,4000,0,4000
"1741",1999,4316,0,0,0
"1743",1999,6913,0,0,0
"1745",1999,3105,0,0,0
"1746",1999,2831,0,0,0
"1747",1999,2274,0,0,0
"1748",1999,3887,0,0,0
"1749",1999,4203,0,0,0
"1750",1999,1710,5000,0,5000
"1753",1999,6834,0,0,0
"1755",1999,1840,3200,0,3200
"1756",1999,752,0,0,0
"1757",1999,349,0,0,0
"1763",1999,680,0,0,0
"1764",1999,2842,500,0,500
"1765",1999,279,0,0,0
"1766",1999,2096,0,0,0
"1767",1999,1482,0,0,0
"1771",1999,5315,0,0,0
"1772",1999,6076,1025,0,1025
"1780",1999,256,0,0,0
"1781",1999,165,0,0,0
"1786",1999,257,0,0,0
"1787",1999,3890,0,0,0
"1790",1999,3674,0,0,0
"1792",1999,6911,0,0,0
"1793",1999,6679,0,0,0
"1794",1999,6478,0,0,0
"1795",1999,6882,0,0,0
"1796",1999,5902,0,0,0
"1797",1999,6493,0,0,0
"1798",1999,6378,0,0,0
"1802",1999,5769,0,0,0
"1803",1999,6931,10,0,10
"1804",1999,2279,0,0,0
"1805",1999,3676,0,0,0
"1806",1999,6794,0,0,0
"1807",1999,2390,0,0,0
"1808",1999,1466,0,0,0
"1809",1999,6804,0,0,0
"1819",1999,326,0,0,0
"1820",1999,5245,2000,0,2000
"1821",1999,4546,0,0,0
"1827",1999,166,0,0,0
"1828",1999,1660,0,0,0
