"","ID","Race"
"343",6667001,2
"344",194001,1
"345",5416172,2
"346",1618001,1
"347",2518173,2
"348",1798178,1
"349",5856176,2
"350",1862001,3
"351",6328001,1
"352",5760170,1
"353",2014004,1
"354",1570001,2
"355",211001,1
"356",278001,1
"357",590001,1
"358",765001,1
"359",603001,1
"360",932001,1
"361",6284002,2
"362",1424001,1
"363",1483001,1
"364",615002,1
"365",30001,1
"366",5159002,7
"367",10004,2
"368",1725001,1
"369",2600001,2
"370",1544001,1
"371",563178,1
"372",5185001,2
"373",5148178,2
"374",5514002,2
"375",2682001,1
"376",707001,1
"377",1944001,1
"378",6337001,2
"379",115001,1
"380",842001,1
"381",143001,1
"382",2920001,1
"383",1829003,1
"384",5763001,2
"385",6351001,1
"386",308001,1
"387",6608001,2
"388",334001,1
"389",777174,1
"390",208001,1
"391",6401173,2
"392",2093001,1
"393",5065173,2
"394",1983001,1
"395",1341001,1
"396",2092001,1
"397",2098001,1
"398",1491001,1
"399",345001,1
"400",6598001,2
"401",5322001,2
"402",684001,1
"403",6148001,2
"404",5488171,2
"405",251001,1
"406",2083001,2
"407",300001,1
"408",5418001,2
"409",2615001,1
"410",5703001,3
"411",2372001,1
"412",1810175,3
"413",5344170,2
"414",5920001,2
"415",239001,1
"416",2220001,2
"417",5042001,2
"418",2387004,1
"419",516172,1
"420",3001,1
"421",586001,1
"422",5863179,2
"423",6562001,1
"424",2875001,2
"425",1278001,2
"426",6134001,2
"427",667001,1
"428",993001,1
"429",1187001,1
"430",5720001,1
"431",6293001,3
"432",1162001,1
"433",1796001,1
"434",5419001,2
"435",5719001,3
"436",736008,1
"437",6551001,1
"438",5872173,2
"439",5937002,2
"440",5594001,2
"441",5202181,1
"442",736173,1
"443",5037001,2
"444",1556001,1
"445",1646001,1
"446",5088001,7
"447",6399002,3
"448",5587171,2
"449",6022001,1
"450",2884004,2
"451",5313002,3
"452",6014001,1
"453",5524001,1
"454",1891001,1
"455",1892173,1
"456",6651001,2
"457",5128177,2
"458",2294001,1
"459",6004002,3
"460",6302001,1
"461",1676001,1
"462",2303001,1
"463",865002,3
"464",2889001,2
"465",5782001,2
"466",6503001,1
"467",2796002,2
"468",5624175,2
"469",5861020,2
"470",5540001,1
"471",2293001,1
"472",5244001,2
"473",6820171,2
"474",6117001,1
"475",6797001,2
"476",378021,2
"477",165175,1
"478",6542001,1
"479",5339001,2
"480",2853001,2
"481",6164001,2
"482",2170001,1
"483",6394171,1
"484",901001,1
"485",5160170,1
"486",6521001,2
"487",5941001,3
"488",5657001,1
"489",6494001,2
"490",6494182,2
"491",6545003,2
"492",5977171,2
"493",153001,1
"494",2556173,2
"495",6632001,2
"496",6043001,1
"497",1123001,1
"498",6008001,1
"499",24001,1
"500",5734173,1
"501",548181,1
"502",2440002,1
"503",896001,1
"504",5160001,1
"505",917004,1
"506",6341001,1
"507",639001,1
"508",1835001,2
"509",5183002,2
"510",6530001,2
"511",6757001,2
"512",6782001,2
"513",2824001,3
"514",5603001,2
"515",5466001,2
"516",5691001,2
"517",421001,3
"518",2518172,2
"519",5696170,3
"520",1993001,1
"521",1965001,1
"522",6146001,2
"523",1773001,2
"524",531001,1
"525",2275001,1
"526",45002,1
"527",5685021,2
"528",5214171,1
"529",6623001,2
"530",5641001,2
