"","KID","LW_std","LW_raw","PC_std","PC_raw","AP_std","AP_raw","DigSpan","BPE","BPN","year"
"3280",6545037,93,42,97,26,82,29,10,13,9,1997
"3281",6545039,97,35,112,23,104,29,7,8,9,1997
"3282",6545040,104,17,88,1,78,13,5,5,0,1997
"3283",6545041,85,10,NA,NA,72,10,0,14,3,1997
"3284",6545178,108,45,105,27,93,31,15,3,1,1997
"3285",6545180,NA,NA,NA,NA,NA,NA,NA,11,3,1997
"3286",6546034,110,37,102,18,119,31,8,6,3,1997
"3287",6546036,117,11,NA,NA,106,10,4,6,2,1997
"3288",6546037,97,6,NA,NA,83,4,5,8,1,1997
"3289",6547032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3290",6547172,NA,NA,NA,NA,NA,NA,NA,8,4,1997
"3291",6549030,NA,NA,NA,NA,NA,NA,NA,3,0,1997
"3292",6549031,NA,NA,NA,NA,NA,NA,NA,1,0,1997
"3293",6553030,77,0,NA,NA,67,0,0,9,1,1997
"3294",6553031,104,4,NA,NA,70,0,4,6,1,1997
"3295",6553032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3296",6553171,87,33,76,13,65,19,6,7,3,1997
"3297",6557031,95,44,96,26,105,39,13,7,4,1997
"3298",6560033,106,44,94,22,109,36,17,0,0,1997
"3299",6560181,116,31,107,14,112,25,13,3,1,1997
"3300",6571038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3301",6571177,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3302",6575031,NA,NA,NA,NA,NA,NA,NA,8,2,1997
"3303",6575032,NA,NA,NA,NA,NA,NA,NA,3,0,1997
"3304",6577038,84,36,96,25,80,27,15,4,3,1997
"3305",6577039,NA,NA,NA,NA,NA,NA,NA,9,2,1997
"3306",6577040,110,6,NA,NA,97,4,0,10,5,1997
"3307",6577041,121,13,NA,NA,98,9,6,9,2,1997
"3308",6583044,83,37,90,23,83,29,13,3,0,1997
"3309",6583045,NA,NA,NA,NA,NA,NA,NA,5,0,1997
"3310",6583046,100,41,96,22,80,25,12,6,4,1997
"3311",6583047,104,6,NA,NA,109,9,4,6,4,1997
"3312",6583048,99,4,NA,NA,114,9,6,7,1,1997
"3313",6583049,102,4,NA,NA,68,0,0,9,5,1997
"3314",6583050,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3315",6583051,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3316",6583052,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3317",6583200,92,21,93,9,93,21,7,8,1,1997
"3318",6588040,110,30,110,16,109,25,9,11,2,1997
"3319",6588041,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3320",6588042,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3321",6589034,99,45,107,29,103,38,20,5,3,1997
"3322",6589035,104,46,96,25,97,35,12,2,0,1997
"3323",6590039,87,39,99,27,95,35,15,4,2,1997
"3324",6590040,97,42,115,30,113,39,18,1,2,1997
"3325",6590041,126,50,133,34,119,39,17,7,5,1997
"3326",6590045,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3327",6590046,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3328",6590047,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3329",6591036,96,36,107,23,105,31,17,7,6,1997
"3330",6591038,109,31,106,16,97,23,13,6,1,1997
"3331",6598034,118,49,96,25,99,35,14,5,3,1997
"3332",6598035,126,35,118,18,101,23,11,4,0,1997
"3333",6598036,111,14,NA,NA,110,16,10,7,2,1997
"3334",6598037,98,12,NA,NA,78,10,9,7,2,1997
"3335",6602032,103,45,94,24,105,37,13,5,0,1997
"3336",6602034,89,36,92,21,103,34,17,10,2,1997
"3337",6602035,91,37,97,23,93,30,11,12,6,1997
"3338",6602036,99,40,110,26,113,35,14,2,0,1997
"3339",6602040,NA,NA,NA,NA,NA,NA,NA,11,2,1997
"3340",6602041,104,6,NA,NA,100,7,4,5,2,1997
"3341",6602181,115,50,99,27,115,42,12,5,0,1997
"3342",6602192,NA,NA,NA,NA,NA,NA,NA,10,9,1997
"3343",6602194,81,18,87,8,73,16,12,NA,3,1997
"3344",6605033,108,44,99,24,93,30,15,1,0,1997
"3345",6605035,103,11,NA,NA,115,17,5,0,0,1997
"3346",6605036,NA,NA,NA,NA,NA,NA,NA,5,0,1997
"3347",6605037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3348",6605038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3349",6605202,123,12,NA,NA,130,17,5,5,NA,1997
"3350",6607180,NA,NA,NA,NA,NA,NA,NA,9,3,1997
"3351",6615033,115,50,95,25,99,37,14,2,1,1997
"3352",6615036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3353",6616033,NA,NA,NA,NA,NA,NA,NA,8,3,1997
"3354",6616034,NA,NA,NA,NA,NA,NA,NA,5,0,1997
"3355",6616035,NA,NA,NA,NA,NA,NA,NA,2,1,1997
"3356",6616036,NA,NA,NA,NA,NA,NA,NA,5,1,1997
"3357",6616177,113,43,109,24,117,34,13,8,3,1997
"3358",6616181,97,40,110,27,95,31,13,7,7,1997
"3359",6616183,106,24,106,12,119,26,5,11,1,1997
"3360",6624034,97,44,111,30,98,36,13,10,2,1997
"3361",6625033,99,43,93,23,95,33,12,13,9,1997
"3362",6625034,108,14,NA,NA,110,17,8,9,4,1997
"3363",6625035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3364",6625175,NA,NA,NA,NA,NA,NA,NA,2,1,1997
"3365",6626032,94,39,80,16,81,26,13,10,3,1997
"3366",6626034,97,31,99,16,118,30,14,12,0,1997
"3367",6626035,91,31,96,17,94,26,12,1,0,1997
"3368",6626036,86,4,NA,NA,109,13,4,2,2,1997
"3369",6626037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3370",6626038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3371",6626039,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3372",6633036,112,45,107,26,106,34,15,0,0,1997
"3373",6633037,101,24,103,12,100,22,15,7,0,1997
"3374",6635042,87,31,90,16,96,28,15,7,5,1997
"3375",6635044,109,27,110,14,116,26,10,7,4,1997
"3376",6635050,85,4,NA,NA,83,6,7,10,2,1997
"3377",6635052,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3378",6635053,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3379",6638035,80,2,NA,NA,83,4,2,1,0,1997
"3380",6646037,NA,NA,NA,NA,NA,NA,NA,8,7,1997
"3381",6646038,98,42,108,28,93,32,13,6,6,1997
"3382",6646039,NA,NA,NA,NA,NA,NA,NA,8,3,1997
"3383",6646040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3384",6646179,88,4,NA,NA,89,6,2,13,6,1997
"3385",6649034,NA,NA,NA,NA,NA,NA,NA,8,1,1997
"3386",6649035,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3387",6655035,89,38,93,23,78,26,6,9,6,1997
"3388",6655036,88,33,94,19,93,28,4,4,0,1997
"3389",6655037,86,28,95,16,99,27,12,1,0,1997
"3390",6655038,81,8,NA,NA,76,10,6,2,1,1997
"3391",6655039,91,3,NA,NA,72,1,4,4,1,1997
"3392",6657031,89,29,104,19,109,29,10,8,4,1997
"3393",6657032,81,8,NA,NA,102,16,7,6,3,1997
"3394",6657033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3395",6660031,84,18,90,9,88,20,11,5,3,1997
"3396",6660032,101,15,108,5,87,14,9,11,8,1997
"3397",6664031,115,41,112,22,128,34,18,15,12,1997
"3398",6664032,90,6,NA,NA,99,12,NA,5,2,1997
"3399",6664033,101,9,NA,NA,93,10,NA,8,1,1997
"3400",6664173,86,32,89,17,87,26,14,9,7,1997
"3401",6674032,NA,NA,NA,NA,NA,NA,NA,11,4,1997
"3402",6674175,NA,NA,NA,NA,NA,NA,NA,2,3,1997
"3403",6680030,97,12,NA,NA,80,11,9,4,0,1997
"3404",6682033,118,10,NA,NA,118,12,6,7,0,1997
"3405",6682175,102,39,107,23,101,30,7,7,2,1997
"3406",6684033,84,35,94,23,94,32,15,8,7,1997
"3407",6684034,91,36,95,21,92,29,18,4,0,1997
"3408",6684035,92,34,89,16,92,27,10,10,8,1997
"3409",6684036,91,31,94,16,98,27,8,5,1,1997
"3410",6684038,104,25,113,15,121,27,9,5,1,1997
"3411",6684040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3412",6684041,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3413",6684042,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3414",6694032,NA,NA,NA,NA,NA,NA,NA,5,1,1997
"3415",6698033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3416",6699032,96,30,104,18,125,32,18,11,4,1997
"3417",6706034,112,43,101,22,107,32,14,4,0,1997
"3418",6706037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3419",6706038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3420",6706195,103,35,115,22,122,32,11,0,0,1997
"3421",6707033,83,32,96,22,96,31,8,1,0,1997
"3422",6707034,89,12,NA,NA,72,11,6,3,0,1997
"3423",6710034,83,27,93,16,111,31,10,6,0,1997
"3424",6710035,89,4,NA,NA,99,9,6,14,4,1997
"3425",6714171,109,42,100,22,93,28,10,1,0,1997
"3426",6716031,106,12,NA,NA,96,12,6,3,0,1997
"3427",6716032,75,1,NA,NA,94,7,5,0,0,1997
"3428",6716174,143,47,101,17,114,29,15,1,0,1997
"3429",6721032,84,32,97,22,97,31,17,12,7,1997
"3430",6721034,84,19,85,7,97,23,11,12,5,1997
"3431",6722031,NA,NA,NA,NA,NA,NA,NA,0,0,1997
"3432",6724034,87,35,81,16,87,28,10,4,5,1997
"3433",6724035,77,30,76,14,76,24,12,3,5,1997
"3434",6724036,98,24,109,15,106,24,12,6,1,1997
"3435",6724037,104,26,114,16,99,22,10,1,0,1997
"3436",6724039,101,3,NA,NA,83,1,NA,1,0,1997
"3437",6724040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3438",6724204,82,6,NA,NA,97,13,10,7,3,1997
"3439",6733034,108,12,NA,NA,90,10,5,0,0,1997
"3440",6733035,117,11,NA,NA,113,12,5,3,0,1997
"3441",6735038,97,43,99,26,100,36,15,4,3,1997
"3442",6735041,88,37,86,19,87,29,8,5,4,1997
"3443",6735042,71,12,80,3,65,12,0,1,1,1997
"3444",6735043,95,32,86,12,100,27,9,12,8,1997
"3445",6735044,102,14,NA,NA,87,13,9,0,0,1997
"3446",6735045,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3447",6736035,95,41,94,23,91,31,9,7,1,1997
"3448",6736036,97,35,115,24,111,31,11,4,0,1997
"3449",6736037,121,43,111,22,117,32,15,0,0,1997
"3450",6736038,100,12,NA,NA,117,19,7,3,1,1997
"3451",6736039,NA,NA,NA,NA,NA,NA,NA,9,0,1997
"3452",6736040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3453",6738034,96,42,96,25,105,37,11,1,0,1997
"3454",6738181,85,4,NA,NA,96,10,5,9,1,1997
"3455",6738182,109,19,77,0,122,23,12,9,1,1997
"3456",6740033,103,46,93,24,110,39,11,0,0,1997
"3457",6740034,100,42,96,23,109,36,23,1,0,1997
"3458",6740035,122,32,114,15,102,22,9,0,0,1997
"3459",6750034,NA,NA,NA,NA,NA,NA,NA,10,3,1997
"3460",6750035,NA,NA,NA,NA,NA,NA,NA,10,3,1997
"3461",6750036,NA,NA,NA,NA,NA,NA,NA,4,0,1997
"3462",6750037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3463",6750184,117,13,NA,NA,99,11,7,3,0,1997
"3464",6750185,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3465",6765032,108,44,105,26,106,35,16,8,2,1997
"3466",6765033,97,23,101,12,95,21,10,2,0,1997
"3467",6765034,85,4,NA,NA,90,8,5,3,1,1997
"3468",6765035,89,5,NA,NA,86,7,5,6,0,1997
"3469",6765036,77,3,NA,NA,71,5,0,9,1,1997
"3470",6765037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3471",6769038,95,39,98,24,99,33,13,1,0,1997
"3472",6769039,88,34,89,18,101,32,9,12,11,1997
"3473",6769040,115,44,101,22,91,27,17,4,1,1997
"3474",6779037,109,42,108,24,94,28,10,13,3,1997
"3475",6779038,116,35,116,20,106,26,15,5,3,1997
"3476",6780174,94,42,117,31,96,35,15,2,1,1997
"3477",6784193,NA,NA,NA,NA,NA,NA,NA,1,2,1997
"3478",6785033,87,38,104,28,102,37,19,2,1,1997
"3479",6785037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3480",6785038,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3481",6788034,87,33,80,14,110,34,11,14,9,1997
"3482",6788035,104,31,91,11,98,24,12,9,11,1997
"3483",6789032,97,34,102,19,99,27,10,1,0,1997
"3484",6790035,NA,NA,NA,NA,NA,NA,NA,9,3,1997
"3485",6790036,NA,NA,NA,NA,NA,NA,NA,11,4,1997
"3486",6790037,118,44,106,22,111,32,19,4,2,1997
"3487",6793036,94,30,95,15,89,23,10,10,1,1997
"3488",6793037,80,10,77,0,72,11,6,15,8,1997
"3489",6793038,95,4,NA,NA,95,5,4,13,5,1997
"3490",6793040,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3491",6800038,89,2,NA,NA,65,0,6,4,1,1997
"3492",6801033,103,39,92,17,88,25,11,13,7,1997
"3493",6801038,72,6,NA,NA,68,9,4,14,10,1997
"3494",6801039,85,3,NA,NA,48,0,1,10,10,1997
"3495",6801040,96,7,NA,NA,99,11,7,13,9,1997
"3496",6801185,96,41,109,28,96,33,18,10,3,1997
"3497",6801186,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3498",6802174,105,14,NA,NA,107,17,13,2,0,1997
"3499",6802175,106,6,NA,NA,119,11,6,9,0,1997
"3500",6803033,92,37,107,26,91,29,17,2,2,1997
"3501",6816032,143,53,125,31,125,39,20,4,2,1997
"3502",6816033,111,27,117,16,118,26,15,3,6,1997
"3503",6820034,104,42,107,26,124,39,16,8,4,1997
"3504",6820035,110,44,101,24,108,34,20,7,1,1997
"3505",6820036,91,13,98,3,95,17,12,1,0,1997
"3506",6820037,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3507",6822032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3508",6822173,88,34,84,16,95,30,14,3,0,1997
"3509",6822175,79,14,82,3,61,11,4,6,6,1997
"3510",6822177,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3511",6826032,84,32,94,20,117,36,15,2,2,1997
"3512",6826033,105,40,110,24,118,34,10,2,3,1997
"3513",6828031,91,33,99,20,87,25,11,13,7,1997
"3514",6828032,101,19,97,6,104,21,12,10,3,1997
"3515",6830030,NA,NA,NA,NA,NA,NA,NA,1,0,1997
"3516",6830031,NA,NA,NA,NA,NA,NA,NA,0,0,1997
"3517",6832035,97,40,91,20,110,36,18,0,0,1997
"3518",6832036,99,20,93,6,95,20,12,6,1,1997
"3519",6832038,92,7,NA,NA,98,12,6,5,0,1997
"3520",6832039,79,4,NA,NA,82,8,6,10,6,1997
"3521",6832040,99,4,NA,NA,86,2,6,10,3,1997
"3522",6832041,92,2,NA,NA,100,4,5,4,0,1997
"3523",6832042,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3524",6832044,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3525",6832176,NA,NA,NA,NA,NA,NA,NA,12,8,1997
"3526",6832177,NA,NA,NA,NA,NA,NA,NA,5,0,1997
"3527",6837034,90,30,106,20,131,35,14,10,5,1997
"3528",6838033,63,0,NA,NA,28,0,0,3,1,1997
"3529",6839035,96,35,104,21,93,26,12,7,5,1997
"3530",6839036,NA,NA,NA,NA,NA,NA,NA,0,0,1997
"3531",6839037,101,13,NA,NA,99,15,5,0,0,1997
"3532",6840032,124,51,99,26,91,32,15,10,8,1997
"3533",6840033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3534",6843032,NA,NA,NA,NA,NA,NA,NA,7,2,1997
"3535",6843033,NA,NA,NA,NA,NA,NA,NA,11,4,1997
"3536",6843034,NA,NA,NA,NA,NA,NA,NA,4,1,1997
"3537",6845035,98,38,98,21,105,32,11,7,5,1997
"3538",6845037,97,21,97,9,83,17,5,0,0,1997
"3539",6845038,99,19,96,6,84,16,4,6,NA,1997
"3540",6845039,115,20,118,8,102,17,8,1,0,1997
"3541",6845040,NA,NA,NA,NA,NA,NA,NA,2,6,1997
"3542",6845041,108,13,NA,NA,91,11,4,8,2,1997
"3543",6845042,NA,NA,NA,NA,NA,NA,NA,2,3,1997
"3544",6845043,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3545",6845044,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3546",6849031,NA,NA,NA,NA,NA,NA,NA,2,0,1997
"3547",6849032,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3548",6849033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3549",6851031,NA,NA,NA,NA,NA,NA,NA,1,0,1997
"3550",6853032,108,6,NA,NA,101,6,2,8,3,1997
"3551",6853033,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3552",6854173,NA,NA,NA,NA,NA,NA,NA,9,3,1997
"3553",6857030,NA,NA,NA,NA,NA,NA,NA,3,1,1997
"3554",6857184,NA,NA,NA,NA,NA,NA,NA,10,4,1997
"3555",6862045,106,42,130,32,111,35,14,4,1,1997
"3556",6862047,101,4,NA,NA,126,11,4,8,2,1997
"3557",6864034,NA,NA,NA,NA,NA,NA,NA,1,2,1997
"3558",6864035,79,4,NA,NA,82,8,8,6,1,1997
"3559",6867034,104,12,NA,NA,86,10,4,12,1,1997
"3560",6867036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997
"3561",6867201,97,24,101,13,97,22,10,4,1,1997
"3562",6872031,122,43,115,23,103,28,17,0,0,1997
"3563",6872174,NA,NA,NA,NA,NA,NA,NA,0,0,1997
"3564",4037,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3565",4038,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3566",4039,90,41,99,26,92,34,14,17,14,2002
"3567",4041,72,28,84,17,70,24,12,14,10,2002
"3568",4042,103,25,115,15,100,24,12,10,4,2002
"3569",4043,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3570",4180,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3571",4187,92,46,105,31,106,44,15,0,0,2002
"3572",5032,105,53,109,35,94,42,26,0,1,2002
"3573",5033,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3574",6034,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3575",7039,67,33,76,19,79,31,11,6,6,2002
"3576",7040,85,40,91,24,89,34,10,11,11,2002
"3577",7041,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3578",7044,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3579",7045,78,28,112,25,79,25,12,8,3,2002
"3580",7046,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3581",7047,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3582",10033,NA,NA,NA,NA,NA,NA,NA,1,0,2002
"3583",10034,115,50,97,25,123,45,25,2,0,2002
"3584",10035,91,37,83,17,81,26,14,2,2,2002
"3585",14030,96,50,101,32,91,39,14,3,0,2002
"3586",14031,96,48,99,29,97,40,16,4,3,2002
"3587",14032,108,44,122,30,103,34,17,1,1,2002
"3588",14033,105,33,120,21,120,31,14,2,0,2002
"3589",16033,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3590",18038,116,54,96,30,97,42,18,1,1,2002
"3591",18039,98,33,106,18,97,27,12,6,5,2002
"3592",18040,115,39,112,20,100,28,13,7,5,2002
"3593",18041,NA,NA,NA,NA,NA,NA,NA,7,2,2002
"3594",18187,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3595",18189,87,26,100,16,82,22,11,6,10,2002
"3596",18191,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3597",18192,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3598",22030,100,49,102,29,87,34,19,5,3,2002
"3599",22031,115,51,107,29,120,45,21,0,0,2002
"3600",22176,118,49,111,28,110,38,17,4,0,2002
"3601",39031,141,45,136,26,128,32,10,4,0,2002
"3602",40035,90,47,88,26,97,42,24,3,6,2002
"3603",40038,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3604",40039,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3605",45032,83,33,83,16,84,28,14,13,5,2002
"3606",45033,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3607",45034,98,22,116,15,74,16,9,1,0,2002
"3608",47034,NA,NA,NA,NA,NA,NA,NA,2,0,2002
"3609",47035,NA,NA,NA,NA,NA,NA,NA,4,0,2002
"3610",47036,NA,NA,NA,NA,NA,NA,NA,1,3,2002
"3611",47037,118,51,115,31,122,45,18,5,3,2002
"3612",47038,119,47,113,26,123,39,13,8,2,2002
"3613",47039,NA,NA,NA,NA,NA,NA,NA,3,0,2002
"3614",47040,NA,NA,NA,NA,NA,NA,NA,6,3,2002
"3615",50032,128,54,103,29,111,44,18,6,6,2002
"3616",50033,109,47,105,27,98,35,19,6,2,2002
"3617",50034,96,37,97,19,90,28,15,2,2,2002
"3618",50035,106,30,100,13,56,12,9,5,5,2002
"3619",51031,113,52,125,35,100,41,13,10,9,2002
"3620",51032,NA,NA,NA,NA,NA,NA,NA,5,1,2002
"3621",53035,143,56,123,38,129,55,29,3,4,2002
"3622",53036,105,52,92,27,94,40,14,7,5,2002
"3623",53038,97,47,97,27,102,41,18,5,2,2002
"3624",53040,92,40,95,23,109,38,14,14,6,2002
"3625",53041,125,50,123,31,134,44,23,5,0,2002
"3626",53042,109,43,117,26,123,37,17,15,10,2002
"3627",53205,103,14,NA,NA,93,15,8,9,NA,2002
"3628",60036,120,50,113,29,100,36,14,8,10,2002
"3629",60037,104,23,109,12,88,20,7,16,3,2002
"3630",61032,174,57,117,33,106,43,25,8,5,2002
"3631",61034,139,52,109,24,117,36,11,4,0,2002
"3632",61035,144,39,138,22,106,22,17,0,5,2002
"3633",68030,107,42,101,21,97,30,10,5,3,2002
"3634",79032,129,55,119,36,114,49,25,1,0,2002
"3635",84033,103,50,125,35,106,43,21,6,6,2002
"3636",84034,109,49,104,28,123,45,15,14,NA,2002
"3637",84035,112,45,105,24,111,36,15,8,NA,2002
"3638",88035,114,53,103,31,104,44,21,0,0,2002
"3639",88036,105,50,102,29,99,40,17,0,0,2002
"3640",89034,121,54,129,37,115,48,26,5,1,2002
"3641",89035,95,15,88,2,102,21,8,9,1,2002
"3642",90030,NA,NA,NA,NA,NA,NA,NA,6,0,2002
"3643",90031,118,47,114,27,115,37,12,4,2,2002
"3644",90032,113,27,121,16,110,25,10,5,1,2002
"3645",91031,104,40,114,24,120,36,11,10,8,2002
"3646",91032,93,13,NA,NA,41,6,5,11,3,2002
"3647",96031,99,52,110,35,101,46,12,5,2,2002
"3648",96032,85,37,108,28,95,34,6,3,5,2002
"3649",96033,86,27,108,19,85,24,10,5,8,2002
"3650",99032,99,38,99,19,117,34,9,13,5,2002
"3651",99033,NA,NA,93,6,NA,NA,7,11,11,2002
"3652",105035,90,42,87,21,88,33,15,2,4,2002
"3653",106031,80,35,86,20,80,29,12,15,11,2002
"3654",106032,96,42,103,26,98,35,14,15,9,2002
"3655",114033,115,54,95,30,99,44,18,9,0,2002
"3656",114034,145,56,143,41,110,48,20,7,5,2002
"3657",117031,105,40,131,29,111,33,12,2,1,2002
"3658",117032,118,33,127,20,77,18,9,2,0,2002
"3659",121030,126,55,124,38,120,52,23,3,8,2002
"3660",121032,94,49,110,34,103,45,22,17,9,2002
"3661",121033,107,51,125,35,115,46,21,6,2,2002
"3662",121036,121,52,100,27,144,52,13,10,13,2002
"3663",121037,119,46,118,27,117,36,17,9,3,2002
"3664",122034,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3665",122036,92,37,101,23,108,35,15,3,5,2002
"3666",122037,NA,NA,NA,NA,NA,NA,NA,5,1,2002
"3667",122174,138,55,91,26,94,37,12,0,2,2002
"3668",126030,100,50,105,31,97,40,17,3,0,2002
"3669",128030,NA,NA,NA,NA,NA,NA,NA,7,2,2002
"3670",128031,113,46,116,28,114,37,15,6,5,2002
"3671",129040,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3672",129041,94,33,100,18,89,26,12,11,7,2002
"3673",129197,92,44,106,29,102,40,10,12,7,2002
"3674",134030,127,34,113,14,100,21,12,4,6,2002
"3675",134031,125,33,128,21,126,28,18,4,1,2002
"3676",138032,106,44,126,31,127,41,14,8,3,2002
"3677",138033,101,37,103,19,93,27,14,5,5,2002
"3678",145030,108,50,108,30,117,45,20,3,4,2002
"3679",145031,109,45,89,18,104,35,14,10,8,2002
"3680",151037,NA,NA,NA,NA,NA,NA,NA,13,8,2002
"3681",151038,NA,NA,NA,NA,NA,NA,NA,10,7,2002
"3682",165032,148,56,112,34,105,45,21,0,0,2002
"3683",166033,95,50,121,37,99,44,16,5,11,2002
"3684",172036,121,31,123,17,98,22,6,13,9,2002
"3685",172179,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3686",172180,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3687",173035,92,48,100,31,105,45,13,8,7,2002
"3688",173036,112,53,97,29,127,53,23,10,1,2002
"3689",173037,71,33,71,16,91,35,11,9,7,2002
"3690",173038,84,39,73,16,90,34,11,3,0,2002
"3691",173039,104,46,92,22,129,45,9,7,2,2002
"3692",173040,89,13,99,4,116,24,8,0,0,2002
"3693",174033,93,49,100,32,90,39,11,3,7,2002
"3694",174034,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3695",174036,94,45,98,27,117,45,16,4,2,2002
"3696",174037,99,47,113,31,124,47,13,0,0,2002
"3697",174040,107,31,108,16,113,28,10,1,2,2002
"3698",178033,120,54,128,37,114,48,23,2,1,2002
"3699",178034,135,54,131,35,125,46,19,0,0,2002
"3700",180030,102,52,99,31,112,48,11,0,1,2002
"3701",180032,94,42,103,27,134,47,14,3,1,2002
"3702",181031,118,54,98,30,100,43,18,3,3,2002
"3703",181032,102,49,115,32,107,42,15,2,2,2002
"3704",189031,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3705",190033,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3706",195030,NA,NA,89,20,NA,NA,19,4,3,2002
"3707",195031,84,33,113,27,94,31,15,6,2,2002
"3708",200034,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3709",200035,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3710",203031,129,54,120,33,100,40,19,0,1,2002
"3711",203033,123,33,121,17,111,26,11,1,3,2002
"3712",209030,99,51,99,31,116,50,12,10,3,2002
"3713",217032,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002
"3714",220030,94,42,91,22,86,31,15,11,3,2002
"3715",221032,113,43,118,25,133,39,18,1,3,2002
"3716",228031,115,54,115,36,130,55,19,2,0,2002
"3717",228032,130,53,132,35,126,45,23,5,1,2002
"3718",236032,114,25,112,11,110,24,9,0,0,2002
"3719",245034,110,53,119,36,94,40,12,8,1,2002
"3720",246031,112,54,105,34,108,48,23,5,6,2002
"3721",250031,68,35,74,20,74,30,19,0,0,2002
