"","KID","year","tau_m","tau_f","tau_both","tau_m2","tau_f2"
"5084",6553032,1997,35.4166666666667,0,35.4166666666667,35.4166666666667,0
"5085",6553171,1997,0,0,0,0,0
"5086",6553171,2002,0,0,0,0,0
"5087",6557031,1997,0,1.66666666666667,1.66666666666667,0,1.66666666666667
"5088",6560033,2002,10.8333333333333,12.9166666666667,12.9166666666667,10.8333333333333,12.9166666666667
"5089",6560181,1997,0,0,0,0,0
"5090",6560181,2002,0,0,0,0,0
"5091",6571038,1997,27.4166666666667,5.83333333333333,29.4166666666667,27.4166666666667,5.83333333333333
"5092",6571038,2002,15.3333333333333,0,15.3333333333333,15.3333333333333,0
"5093",6571177,1997,26.4166666666667,15.3333333333333,30.9166666666667,23.4166666666667,12.3333333333333
"5094",6571177,2002,13.3333333333333,0,13.3333333333333,9.16666666666667,0
"5095",6575031,2002,20.6666666666667,0,20.6666666666667,18.6666666666667,0
"5096",6575032,2002,27,0,27,22.5,0
"5097",6577038,1997,2.83333333333333,2.5,5.33333333333333,2.83333333333333,2.5
"5098",6577038,2002,0,0,0,0,0
"5099",6577040,1997,0,0,0,0,0
"5100",6577040,2002,0,0,0,0,0
"5101",6577041,2002,27.8833333333333,18.05,37.9666666666667,18.8833333333333,14.05
"5102",6583045,2002,24.3333333333333,19.3333333333333,26.8333333333333,14.1666666666667,16.6666666666667
"5103",6583046,2002,15.5,0,15.5,15.5,0
"5104",6583047,1997,22.9,0,22.9,22.9,0
"5105",6583047,2002,38.25,28.4166666666667,38.6666666666667,27.9166666666667,23.0833333333333
"5106",6583048,1997,58.9166666666667,30.4166666666667,58.9166666666667,43.0833333333333,30.4166666666667
"5107",6583048,2002,26.1666666666667,20.3333333333333,26.1666666666667,26.1666666666667,20.3333333333333
"5108",6583049,1997,48.6666666666667,29.0833333333333,73.25,26.6666666666667,14.75
"5109",6583049,2002,9.25,5,11.75,6.75,1.25
"5110",6583050,1997,38.8333333333333,0,38.8333333333333,26,0
"5111",6583050,2002,26.5,0,26.5,22.75,0
"5112",6583051,1997,28.0666666666667,0,28.0666666666667,23.5666666666667,0
"5113",6583051,2002,38.25,28.4166666666667,38.6666666666667,27.9166666666667,23.0833333333333
