"","KID","year","Toys","Vacation","SchSupplies","Clothing","Food","sports","lessons","comm_grps","tutoring","tuition"
"74",106032,2002,11.5384615384615,0,5.76923076923077,9.61538461538461,19.2307692307692,4.61538461538461,0,19.2307692307692,0,0
"75",114033,2002,0,0,0.480769230769231,0,7.69230769230769,0,0,0,0,0
"76",114034,2002,19.2307692307692,15.3846153846154,0.769230769230769,3.84615384615385,1.92307692307692,0,1.92307692307692,0,0,0
"77",117031,2002,7.69230769230769,NA,0.769230769230769,NA,NA,0,0,0,0,0
"78",117032,2002,7.69230769230769,NA,0.769230769230769,NA,NA,0,NA,0,0,0
"79",121030,2002,7.69230769230769,24.0384615384615,4.80769230769231,7.69230769230769,NA,5.76923076923077,0,0,0,86.5384615384615
"80",121032,2002,19.2307692307692,0,2.88461538461538,15.3846153846154,34.6153846153846,19.2307692307692,0,0,0,0
"81",121033,2002,38.4615384615385,0,2.88461538461538,9.61538461538461,34.6153846153846,0,0,0,0,0
"82",121036,2002,7.69230769230769,19.2307692307692,1.92307692307692,9.61538461538461,28.8461538461538,0,9.61538461538461,0.384615384615385,0,0
"83",121037,2002,23.0769230769231,38.4615384615385,1.53846153846154,11.5384615384615,13.4615384615385,34.6153846153846,0,0,0,44.2307692307692
"84",122036,2002,19.2307692307692,38.4615384615385,1.92307692307692,15.3846153846154,28.8461538461538,0,0,0,0,28.8461538461538
"85",122037,2002,3.84615384615385,0,0.961538461538462,4.80769230769231,23.0769230769231,0,0,0,0,0
"86",122174,2002,11.5384615384615,38.4615384615385,1.92307692307692,19.2307692307692,42.3076923076923,0.807692307692308,0,0,0,0
"87",126030,2002,6.73076923076923,0,0.480769230769231,3.84615384615385,34.6153846153846,0,0,0,0,0
"88",128030,2002,11.5384615384615,13.4615384615385,2.40384615384615,9.61538461538461,23.0769230769231,0,8.65384615384615,0,0,0
"89",128031,2002,9.61538461538461,38.4615384615385,3.84615384615385,9.61538461538461,28.8461538461538,0,0,0,0,0
"90",129041,2002,11.5384615384615,0,0.288461538461538,4.80769230769231,46.1538461538462,1.34615384615385,0,0,0,0
"91",129197,2002,3.84615384615385,0,0.384615384615385,4.80769230769231,11.5384615384615,7.69230769230769,0,0,0,0
"92",134030,2002,9.61538461538461,0,0.769230769230769,4.80769230769231,23.0769230769231,0,2.88461538461538,0,0,0
"93",134031,2002,9.61538461538461,0,0.769230769230769,4.80769230769231,23.0769230769231,0,32.6923076923077,0,0,0
"94",138032,2002,5.76923076923077,0,0.480769230769231,5.76923076923077,34.6153846153846,0.384615384615385,0,0,0,0
"95",138033,2002,9.61538461538461,0,1.92307692307692,9.61538461538461,3.07692307692308,0,3.84615384615385,7.69230769230769,0,0
"96",145030,2002,15.3846153846154,57.6923076923077,1.15384615384615,19.2307692307692,46.1538461538462,61.5384615384615,0,0,0,0
"97",145031,2002,15.3846153846154,57.6923076923077,0.576923076923077,9.61538461538461,15.3846153846154,16.3461538461538,0,0,0,0
"98",151037,2002,9.61538461538461,28.8461538461538,0.384615384615385,7.69230769230769,NA,19.2307692307692,0,0,0,0
"99",151038,2002,9.61538461538461,28.8461538461538,0.384615384615385,5.76923076923077,NA,13.4615384615385,0,0.384615384615385,0,0
"100",165032,2002,19.2307692307692,23.0769230769231,8.65384615384615,20.8076923076923,23.0769230769231,0,40.9615384615385,0,0,111.538461538462
"101",166033,2002,3.84615384615385,1.92307692307692,2.88461538461538,8.65384615384615,38.4615384615385,1.92307692307692,0,0,0,0
"102",172036,2002,9.61538461538461,32.6923076923077,1.92307692307692,5.76923076923077,7.69230769230769,0,0,0,0,0
"103",173035,2002,0,0,0.961538461538462,0,NA,0,0,0,0,0
"104",173036,2002,2.88461538461538,5.76923076923077,0.961538461538462,7.69230769230769,23.0769230769231,1.92307692307692,0,2.88461538461538,0,0
"105",173037,2002,0,0,0.961538461538462,1.92307692307692,NA,1.44230769230769,0,0,0,0
"106",173038,2002,0.961538461538462,0,0.384615384615385,NA,3.84615384615385,0,0,0,0,0
"107",173039,2002,2.88461538461538,5.76923076923077,0.576923076923077,3.84615384615385,19.2307692307692,0.288461538461538,5.76923076923077,NA,0,0
"108",173040,2002,0.384615384615385,0,0.384615384615385,1.92307692307692,3.84615384615385,0,0,0,0,0
"109",174033,2002,4.80769230769231,0,0.961538461538462,9.61538461538461,34.6153846153846,0,1.92307692307692,0,0,0
"110",174036,2002,4.80769230769231,0,1.34615384615385,7.69230769230769,34.6153846153846,1.15384615384615,5.76923076923077,0,0,0
"111",174037,2002,3.84615384615385,5.76923076923077,0.961538461538462,1.92307692307692,38.4615384615385,0,0,0,0,0
"112",174040,2002,3.84615384615385,5.76923076923077,0.288461538461538,0.961538461538462,38.4615384615385,0.576923076923077,0,0,0,0
"113",178033,2002,9.61538461538461,0,11.5384615384615,9.61538461538461,28.8461538461538,0,7.30769230769231,0,0,0
"114",178034,2002,9.61538461538461,0,4.80769230769231,9.61538461538461,28.8461538461538,0,8.84615384615385,0,0,0
"115",180030,2002,1.63461538461538,0,0.576923076923077,3.84615384615385,NA,2.88461538461538,0,0,0,0
"116",180032,2002,1.92307692307692,0,0.384615384615385,3.84615384615385,NA,1.44230769230769,0,0,0,0
"117",181031,2002,13.4615384615385,NA,1.92307692307692,2.88461538461538,NA,0,23.0769230769231,0,0,0
"118",181032,2002,13.4615384615385,1.92307692307692,1.92307692307692,1.92307692307692,NA,0,23.0769230769231,0,0,0
"119",195030,2002,5.76923076923077,3.84615384615385,3.84615384615385,13.4615384615385,19.2307692307692,3.07692307692308,0,0,0,0
"120",195031,2002,1.92307692307692,38.4615384615385,3.84615384615385,13.4615384615385,28.8461538461538,28.8461538461538,0,0,0,0
"121",203031,2002,38.4615384615385,48.0769230769231,5.76923076923077,38.4615384615385,34.6153846153846,153.846153846154,38.4615384615385,4.80769230769231,0,0
"122",203033,2002,38.4615384615385,48.0769230769231,1.92307692307692,9.61538461538461,34.6153846153846,3.84615384615385,0,1.92307692307692,0,0
"123",209030,2002,NA,0,0.480769230769231,1.92307692307692,28.8461538461538,0,0,0,0,0
"124",220030,2002,9.61538461538461,19.2307692307692,1.92307692307692,14.4230769230769,27.6923076923077,0,0,0,0,0
"125",221032,2002,9.61538461538461,38.4615384615385,0.384615384615385,7.69230769230769,34.6153846153846,7.69230769230769,0,1.92307692307692,0,0
"126",228031,2002,38.4615384615385,1.92307692307692,3.84615384615385,9.61538461538461,3.84615384615385,38.4615384615385,0,0,0,0
"127",228032,2002,13.4615384615385,15.3846153846154,1.44230769230769,19.2307692307692,11.5384615384615,3.84615384615385,9.61538461538461,0,0,342.307692307692
"128",236032,2002,38.4615384615385,28.8461538461538,0.288461538461538,57.6923076923077,48.0769230769231,4.80769230769231,26.9230769230769,0,15.3846153846154,0
"129",245034,2002,5.76923076923077,38.4615384615385,0.961538461538462,9.61538461538461,NA,0,0,0,0,0
"130",246031,2002,19.2307692307692,19.2307692307692,2.88461538461538,19.2307692307692,28.8461538461538,8.65384615384615,0,0,0,0
"131",250031,2002,3.84615384615385,0,1.92307692307692,7.69230769230769,5.76923076923077,0,0,0,0,0
"132",250032,2002,5.76923076923077,4.80769230769231,1.92307692307692,8.65384615384615,11.5384615384615,0,0,0,0,0
"133",257037,2002,1.92307692307692,NA,1.92307692307692,3.84615384615385,23.0769230769231,0,0,0,0,0
"134",257039,2002,9.61538461538461,NA,1.92307692307692,3.84615384615385,23.0769230769231,0,0,0,0,0
"135",257040,2002,5.76923076923077,0,1.92307692307692,5.76923076923077,9.61538461538461,1.92307692307692,0,1.92307692307692,0,0
"136",263038,2002,38.4615384615385,9.61538461538461,0,11.5384615384615,19.2307692307692,5.76923076923077,0,1.92307692307692,0,0
"137",266035,2002,5.76923076923077,19.2307692307692,0.769230769230769,5.76923076923077,23.0769230769231,0,0,0,0,53.8461538461538
"138",280032,2002,9.61538461538461,0,NA,7.69230769230769,46.1538461538462,0,0,0,0.403846153846154,0
"139",280033,2002,1.92307692307692,0,0,0,NA,0,10,0,0,0
"140",284030,2002,15.3846153846154,11.5384615384615,1.92307692307692,3.84615384615385,28.8461538461538,2.88461538461538,0,0,0,0
"141",284031,2002,15.3846153846154,15.3846153846154,1.92307692307692,5.76923076923077,23.0769230769231,1.92307692307692,0,0,0,0
"142",297048,2002,3.84615384615385,7.69230769230769,3.84615384615385,7.69230769230769,9.61538461538461,0,0,0,0,0
"143",302036,2002,5.76923076923077,5.76923076923077,2.88461538461538,19.2307692307692,57.6923076923077,0,15,1.92307692307692,0,0
"144",302037,2002,5.76923076923077,0,2.88461538461538,19.2307692307692,57.6923076923077,0,0,0,0,0
"145",308037,2002,9.61538461538461,19.2307692307692,19.2307692307692,19.2307692307692,28.8461538461538,5.76923076923077,0,0,19.2307692307692,134.615384615385
"146",311032,2002,14.4230769230769,9.61538461538461,0.961538461538462,3.84615384615385,32.6923076923077,0,0,0,0,0
"147",311033,2002,9.61538461538461,9.61538461538461,0.961538461538462,4.80769230769231,32.6923076923077,0,0,0,0,0
"148",315030,2002,19.2307692307692,NA,1.44230769230769,9.61538461538461,NA,0.961538461538462,0,0.576923076923077,0,0
