"","KID","chcare","Arrange","Price","year"
"1556",2432041,0,NA,NA,1997
"1557",2432042,0,NA,NA,1997
"1558",2432044,0,NA,NA,1997
"1559",2432046,15,"Before/After School Prog.",2.5,1997
"1560",2432047,75,NA,NA,1997
"1561",2432048,0,NA,NA,1997
"1562",2432052,0,NA,NA,1997
"1563",2432053,0,NA,NA,1997
"1564",2432054,75,NA,NA,1997
"1565",2432055,0,NA,NA,1997
"1566",2432187,0,NA,NA,1997
"1567",2434031,0,"Relative",0,1997
"1568",2434032,20,"Before/After School Prog.",5.71428571428571,1997
"1569",2435031,0,NA,NA,1997
"1570",2435032,0,NA,NA,1997
"1571",2435034,0,NA,NA,1997
"1572",2435035,160,NA,NA,1997
"1573",2435036,0,NA,NA,1997
"1574",2436036,0,NA,0,1997
"1575",2436037,0,NA,NA,1997
"1576",2441031,0,NA,NA,1997
"1577",2441032,0,NA,NA,1997
"1578",2441034,0,NA,NA,1997
"1579",2441035,0,NA,NA,1997
"1580",2441037,0,NA,NA,1997
"1581",2443030,0,"Relative",0,1997
"1582",2443031,0,"Relative",0,1997
"1583",2443033,17.5,NA,NA,1997
"1584",2443179,0,"Relative",0,1997
"1585",2461031,32.5,NA,NA,1997
"1586",2461032,0,NA,NA,1997
"1587",2461033,0,NA,NA,1997
"1588",2461173,0,NA,NA,1997
"1589",2464032,130,NA,NA,1997
"1590",2468030,20,"Relative",2,1997
"1591",2468031,40,NA,NA,1997
"1592",2469032,0,NA,NA,1997
"1593",2473030,0,NA,NA,1997
"1594",2473032,0,NA,NA,1997
"1595",2474034,0,NA,NA,1997
"1596",2478031,0,NA,NA,1997
"1597",2478032,0,NA,NA,1997
"1598",2485032,40,"Family Center",16,1997
"1599",2485034,0,NA,NA,1997
"1600",2485035,0,NA,NA,1997
"1601",2485036,0,NA,NA,1997
"1602",2486034,72,NA,NA,1997
"1603",2490034,0,NA,NA,1997
"1604",2492030,0,"Relative",0,1997
"1605",2501031,0,NA,NA,1997
"1606",2501032,65,"Family Center",3.33333333333333,1997
"1607",2501033,0,NA,NA,1997
"1608",2501034,50,NA,NA,1997
"1609",2502033,0,NA,NA,1997
"1610",2502035,0,NA,NA,1997
"1611",2502036,40,"Family Center",5.71428571428571,1997
"1612",2502037,45,NA,NA,1997
"1613",2506178,0,"Relative",0,1997
"1614",2509035,0,NA,NA,1997
"1615",2509036,0,NA,NA,1997
"1616",2509037,0,NA,NA,1997
"1617",2509038,33,"Before/After School Prog.",2.53846153846154,1997
"1618",2509039,21,"Non Relative",7,1997
"1619",2509040,33,"Before/After School Prog.",2.53846153846154,1997
"1620",2509041,0,NA,NA,1997
"1621",2509042,0,NA,NA,1997
"1622",2509043,0,NA,NA,1997
"1623",2510033,120,NA,2.66666666666667,1997
"1624",2510034,100,NA,NA,1997
"1625",2510035,120,NA,NA,1997
"1626",2510036,100,NA,NA,1997
"1627",2515038,0,NA,NA,1997
"1628",2515040,50,NA,NA,1997
"1629",2515041,0,NA,NA,1997
"1630",2516031,0,NA,NA,1997
"1631",2516032,0,NA,0,1997
"1632",2516033,0,NA,NA,1997
"1633",2518033,0,NA,NA,1997
"1634",2518176,50,NA,NA,1997
"1635",2524030,0,NA,NA,1997
"1636",2524031,0,NA,NA,1997
"1637",2525030,95,NA,NA,1997
"1638",2525177,21.25,NA,NA,1997
"1639",2526033,0,NA,0,1997
"1640",2526034,23.0769230769231,"Family Center",1.92307692307692,1997
"1641",2526035,0,NA,NA,1997
"1642",2529031,0,NA,NA,1997
"1643",2530037,0,"Relative",0,1997
"1644",2530038,0,NA,NA,1997
"1645",2530186,0,NA,NA,1997
"1646",2532031,0,NA,NA,1997
"1647",2532032,0,"Relative",0,1997
"1648",2538031,NA,"Non Relative",NA,1997
"1649",2539034,0,NA,NA,1997
"1650",2540032,50,NA,NA,1997
"1651",2540171,0,NA,NA,1997
"1652",2545033,0,NA,NA,1997
"1653",2545034,0,NA,NA,1997
"1654",2557032,70,NA,NA,1997
"1655",2557033,20,NA,NA,1997
"1656",2558031,103,NA,NA,1997
"1657",2558171,50,"Care Center",5,1997
"1658",2566038,20,"Family Center",3.84615384615385,1997
"1659",2566039,80,NA,NA,1997
"1660",2569037,0,"Relative",0,1997
"1661",2569038,16.25,NA,NA,1997
"1662",2576033,0,"Relative",0,1997
"1663",2576034,0,NA,NA,1997
"1664",2577030,75,NA,NA,1997
"1665",2577031,75,NA,NA,1997
"1666",2578180,60,NA,NA,1997
"1667",2586032,0,NA,NA,1997
"1668",2586034,0,NA,NA,1997
"1669",2586035,26,NA,NA,1997
"1670",2590040,0,NA,NA,1997
"1671",2590041,0,NA,NA,1997
"1672",2590042,0,NA,NA,1997
"1673",2590043,0,NA,NA,1997
"1674",2591035,0,NA,NA,1997
"1675",2593033,60,NA,NA,1997
"1676",2594030,0,NA,NA,1997
"1677",2599174,0,NA,NA,1997
"1678",2599175,0,NA,NA,1997
"1679",2601033,0,NA,NA,1997
"1680",2601034,0,NA,0,1997
"1681",2601036,0,NA,0,1997
"1682",2601038,0,NA,NA,1997
"1683",2603032,0,"Relative",0,1997
"1684",2603033,75,NA,NA,1997
"1685",2603179,75,"Family Center",7.5,1997
"1686",2607030,75,NA,NA,1997
"1687",2610032,0,NA,NA,1997
"1688",2611037,50,NA,NA,1997
"1689",2611038,50,NA,NA,1997
"1690",2613030,0,NA,NA,1997
"1691",2613031,0,NA,NA,1997
"1692",2615046,0,"Relative",0,1997
