ER30001,ER30002,ER33401,ER33402,ER33403,CHREL97,Q1H14,Q1H18,Q1H19,Q1H21,Q1H21A,Q1H22,Q1H22A,ER33601,ER33602,ER33603,CHREL,Q21C12,Q21C13,Q21C15A,Q21C15B,Q21H23A,Q21H23A1,Q21H23B,Q21H23B1,Q21H23C,Q21H23C1,Q21H23D,Q21H23D1,Q21H23H,Q21H23H1,ER33901,ER33902,ER33903,PCHREL07,Q31C12,Q31C13,Q31C15A,Q31C15B
2618,35,5452,3,30,2,0,0,0,0,0,0,0,4546,3,30,4,0,0,0,0,1,300,1,100,1,50,1,150,1,700,6995,3,30,3,0,0,0,0
2618,37,4665,4,30,2,0,0,0,0,0,0,0,430,4,30,4,0,0,0,0,1,300,1,600,1,50,1,300,1,1200,5679,4,30,3,0,0,0,0
2621,34,5727,3,30,2,0,0,0,0,0,0,0,1965,3,30,4,0,40,0,0,1,800,1,700,1,40,1,1000,1,300,6078,3,33,3,2,8,0,0
2628,32,394,4,30,2,0,0,0,0,0,0,0,733,4,30,4,0,0,0,0,1,1000,1,500,1,700,1,1500,1,99998,5442,52,30,,,,,
2628,34,26,2,30,2,0,0,0,0,0,0,0,616,2,30,4,0,0,0,0,1,500,1,200,1,100,1,300,1,3900,8139,2,30,,,,,
2628,35,26,3,30,2,0,0,0,0,0,0,0,616,3,30,4,0,0,0,0,1,500,1,500,1,100,1,500,1,4160,8139,3,30,,,,,
2628,37,394,6,30,2,0,0,0,0,0,0,0,733,6,30,4,0,0,0,0,1,900,1,500,1,100,1,1000,1,99998,5442,3,30,3,0,0,0,0
2629,30,2322,3,30,2,0,0,0,0,0,0,0,4568,3,30,4,0,0,0,0,1,1000,1,500,1,200,1,800,1,100,7303,3,30,3,0,0,0,0
2629,31,2322,4,30,2,0,0,0,0,0,0,0,4568,4,30,4,0,0,0,0,1,1000,1,300,1,100,1,800,1,100,7303,4,30,3,0,0,0,0
2639,30,4791,3,30,2,0,0,0,0,0,0,0,3713,3,30,4,0,7,0,0,1,700,1,500,1,50,1,300,1,1200,4623,3,30,3,2,5,0,0
