"","KID","year","Toys","Vacation","SchSupplies","Clothing","Food","sports","lessons","comm_grps","tutoring","tuition"
"1921",5018034,2007,38.4615384615385,0,0.961538461538462,5.76923076923077,NA,0,15.3846153846154,0,0,0
"1926",5031046,2007,NA,0,3.84615384615385,3.84615384615385,NA,0,0,0,0,0
"1927",5031050,2007,6.25,0,2.40384615384615,4.32692307692308,NA,0,0,0,0,0
"1928",5031052,2007,38.4615384615385,0,1.92307692307692,9.61538461538461,NA,0,0,0,0,0
"1933",5036031,2007,15.3846153846154,17.3076923076923,1.44230769230769,13.4615384615385,NA,3.84615384615385,0,0,0,150
"1936",5040033,2007,3.84615384615385,0,0.384615384615385,1.92307692307692,NA,0,0,0,0,0
"1937",5040181,2007,1.92307692307692,0,0.384615384615385,0,NA,0,0,0,0,0
"1941",5047031,2007,3.84615384615385,0,0,2.88461538461538,NA,2.88461538461538,0,0,0,0
"1942",5047032,2007,6.73076923076923,0,0.865384615384615,6.73076923076923,NA,0,0,0,0,0
"1944",5048041,2007,2.88461538461538,1.92307692307692,2.30769230769231,4.80769230769231,NA,0,0,0,0,0
"1945",5048045,2007,3.84615384615385,1.92307692307692,2.88461538461538,3.84615384615385,NA,0,0,0,0,0
"1946",5048046,2007,0,0,0.576923076923077,2.88461538461538,NA,0,0,0,0,0
"1950",5052051,2007,0,0,0.961538461538462,7.69230769230769,NA,0,0,0,0,0
"1951",5052052,2007,0,0,1.92307692307692,7.69230769230769,NA,0,0,0,0,0
"1955",5055042,2007,0,0,0,0,NA,0,0,0,0,0
"1956",5055043,2007,5.76923076923077,0,3.84615384615385,19.2307692307692,NA,3.84615384615385,0,0,0,0
"1957",5055044,2007,5.76923076923077,3.84615384615385,2.88461538461538,3.84615384615385,NA,1.92307692307692,0,0,0,0
"1960",5057041,2007,0.961538461538462,0,0.288461538461538,1.15384615384615,NA,0,0,0,0,0
"1964",5057047,2007,5.76923076923077,9.61538461538461,0,NA,NA,5.76923076923077,0,0,0,0
"1966",5057197,2007,1.92307692307692,0,0.480769230769231,5.76923076923077,NA,0.769230769230769,0,0,0,0
"1967",5061034,2007,5.76923076923077,3.84615384615385,2.40384615384615,1.92307692307692,NA,3.84615384615385,4.23076923076923,0,2.88461538461538,0
"1969",5065037,2007,19.2307692307692,0,2.88461538461538,48.0769230769231,NA,0,0,0,0,0
"1970",5065038,2007,5.76923076923077,0,0.769230769230769,46.1538461538462,NA,0,0,0,0,0
"1971",5065039,2007,5.76923076923077,0,0.576923076923077,5.76923076923077,NA,0,0,0,0,0
"1972",5065040,2007,5.76923076923077,0,0.769230769230769,23.0769230769231,NA,0,0,0,0,0
"1973",5065043,2007,1.92307692307692,0,1.34615384615385,9.61538461538461,NA,0,0,0,0,0
"1974",5065045,2007,5.76923076923077,0,0.961538461538462,5.76923076923077,NA,5.76923076923077,5.76923076923077,0,0,0
"1976",5066040,2007,19.2307692307692,0,5.76923076923077,13.4615384615385,NA,0.961538461538462,0,0,0,0
"1977",5066041,2007,19.2307692307692,19.2307692307692,9.61538461538461,48.0769230769231,NA,3.26923076923077,0,0,0,0
"1982",5069038,2007,11.5384615384615,13.4615384615385,1.28846153846154,34.6153846153846,NA,2.40384615384615,0,0,0,0
"1989",5120032,2007,3.84615384615385,0,1.92307692307692,7.69230769230769,NA,0,0,0,0,0
"1990",5120033,2007,7.69230769230769,0,1.92307692307692,9.61538461538461,NA,0,0,0,0,0
"1992",5133033,2007,5.76923076923077,1.92307692307692,0,9.61538461538461,NA,0,0,0,0,0
"1993",5133034,2007,6.73076923076923,0,0.769230769230769,4.80769230769231,NA,0,0,0,0,0
"1994",5133035,2007,9.61538461538461,0,0.576923076923077,5.76923076923077,NA,0,0,0,0,0
"1996",5136040,2007,0,3.84615384615385,1.92307692307692,5.76923076923077,NA,0,0,0,0,0
"1997",5136041,2007,0,0,1.92307692307692,5.76923076923077,NA,0,0,0,0,0
"1998",5136042,2007,19.2307692307692,0,0,0,NA,0,0,0,2.76923076923077,0
"2003",5142035,2007,5.76923076923077,11.5384615384615,3.84615384615385,3.84615384615385,NA,9.61538461538461,0,0,0,0
