ER30001,ER30002,PCGID_97,PCGPN_97,OCGID_97,OCGPN_97,PCGID_02,PCGPN_02,OCGID_02,OCGPN_02,PCGID_07,PCGPN_07,OCGID_07,OCGPN_07
1399,37,1399,175,1399,4,1399,175,1399,4,,,,
1399,38,1399,7,1399,177,1399,7,1399,177,,,,
1399,39,1399,7,1399,177,1399,7,1399,177,,,,
1399,40,1399,175,1399,4,1399,175,1399,4,1399,175,1399,4
1407,32,1407,172,1407,3,1407,172,1407,3,1407,172,1407,3
1411,39,1411,7,,,1411,7,,,,,,
1411,43,1411,4,,,1411,4,,,,,,
1411,44,1411,31,,,1411,31,,,1411,31,1411,195
1411,45,1411,4,,,1411,4,,,1411,4,,
1411,185,1411,184,1411,13,,,,,,,,
1411,186,1411,184,1411,13,1411,184,1411,13,1411,184,1411,13
1411,190,1411,188,1411,177,,,,,,,,
1415,31,1415,4,1415,170,1415,4,1415,170,1415,4,1415,170
1426,34,1426,4,,,1426,4,,,,,,
1426,36,1426,2,,,1426,2,1426,180,,,,
1426,38,1426,4,,,1426,4,,,1426,4,,
1426,40,1426,2,,,1426,2,1426,180,1426,2,1426,180
1430,30,1430,4,1430,170,1430,4,1430,170,1430,4,1430,170
1430,31,1430,4,1430,170,1430,4,1430,170,1430,4,1430,170
1431,30,1431,170,1431,3,1431,170,1431,3,,,,
1432,31,1432,170,,,1432,170,,,,,,
1434,35,1434,32,1434,170,1434,32,1434,170,1434,32,1434,170
1445,35,1445,173,1445,7,1445,173,1445,7,,,,
1445,37,1445,173,1445,7,1445,173,1445,7,,,,
1460,30,1460,8,,,1460,8,,,1460,8,,
1468,33,1468,5,1468,176,1468,5,1468,176,,,,
1468,34,1468,5,1468,176,1468,5,1468,176,1468,5,1468,176
1468,35,1468,6,1468,175,1468,6,1468,175,1468,6,1468,175
1473,32,1473,170,1473,3,1473,170,1473,3,,,,
1475,31,1475,3,1475,170,1475,3,1475,170,,,,
1475,32,1475,3,1475,170,1475,3,1475,170,1475,170,1475,3
1480,33,1480,31,,,1480,31,1480,179,1480,31,,
1480,34,1480,31,,,1480,31,1480,179,1480,31,,
1485,33,1485,3,1485,171,1485,3,1485,171,,,,
1485,34,1485,3,1485,171,1485,3,1485,171,1485,3,1485,171
1494,31,1494,175,1494,4,1494,175,1494,4,,,,
1494,32,1494,175,1494,4,1494,175,1494,4,1494,175,1494,4
1498,32,1498,170,1498,4,1498,4,,,,,,
1498,34,1498,172,1498,5,1498,175,1498,174,1498,175,,
1498,35,1498,171,1498,30,1498,171,1498,30,1498,171,1498,30
1498,37,1498,171,1498,30,1498,171,1498,30,1498,171,1498,30
1498,178,1498,172,1498,5,1498,175,1498,174,,,,
1503,170,1503,4,,,,,,,,,,
1505,30,1505,4,1505,171,1505,4,,,1505,4,,
1516,30,1516,171,,,1516,171,,,1516,171,,
1516,31,1516,170,1516,4,1516,170,1516,4,1516,170,1516,4
1516,33,1516,170,1516,4,1516,170,1516,4,1516,170,1516,4
1516,172,1516,171,,,1516,171,,,,,,
1522,35,1522,170,1522,5,1522,170,1522,5,,,,
1522,36,1522,8,1522,174,1522,8,1522,174,,,,
1522,37,1522,171,1522,3,1522,171,1522,3,,,,
1522,38,1522,175,1522,9,1522,175,1522,9,,,,
1522,40,1522,8,1522,174,1522,8,1522,174,1522,8,1522,174
1522,41,1522,175,1522,9,1522,175,1522,9,1522,175,1522,9
1522,42,1522,10,1522,176,1522,10,1522,176,1522,10,1522,176
1522,43,1522,10,1522,176,1522,10,1522,176,1522,10,1522,176
1523,31,1523,171,1523,173,,,,,,,,
1533,32,1533,3,1533,172,1533,3,1533,172,,,,
1533,33,1533,173,1533,5,1533,173,1533,5,1533,173,1533,5
1533,34,1533,173,1533,5,1533,173,1533,5,1533,173,1533,5
1537,172,1537,171,1537,4,,,,,,,,
1540,178,1540,177,1540,5,1540,177,1540,5,1540,177,1540,5
1541,36,1541,171,,,1541,171,,,,,,
1541,37,1541,5,1541,172,1541,5,1541,172,,,,
1541,38,1541,171,,,1541,171,,,,,,
1542,31,1542,6,1542,179,1542,6,1542,179,,,,
1542,33,1542,176,1542,3,1542,176,1542,3,,,,
1542,34,1542,5,1542,174,1542,174,1542,5,,,,
1542,35,1542,176,1542,3,1542,176,1542,3,,,,
1542,36,1542,5,1542,174,1542,174,1542,5,1542,5,1542,174
1542,37,1542,7,1542,177,1542,7,1542,177,1542,7,1542,177
1542,39,1542,6,1542,179,1542,6,1542,179,1542,6,1542,179
1542,40,1542,7,1542,177,1542,7,1542,177,1542,7,1542,177
1547,31,1547,3,1547,170,1547,3,1547,170,,,,
1547,32,1547,5,1547,172,1547,5,,,1547,5,,
1547,33,1547,3,1547,170,1547,3,1547,170,1547,3,1547,170
1551,32,1551,171,,,,,,,,,,
1551,37,1551,171,,,,,,,,,,
1559,30,1559,170,1559,3,1559,170,1559,3,,,,
1568,33,1568,173,1568,3,1568,173,1568,3,,,,
1568,34,1568,32,,,1568,32,,,1568,32,1568,184
1571,37,1571,176,,,1571,176,,,1571,176,,
1571,38,1571,30,,,1571,30,,,1571,30,,
1571,39,1571,30,,,1571,30,,,1571,30,,
1571,40,1571,32,1571,185,1571,32,,,1571,32,1571,933
1571,181,1571,171,,,1571,171,,,,,,
1572,38,1572,5,1572,174,1572,5,1572,174,,,,
1572,40,1572,5,1572,174,1572,5,1572,174,,,,
1572,41,1572,4,,,1572,4,,,,,,
1579,42,1579,6,1579,172,1579,172,1579,6,,,,
1583,31,1583,3,1583,171,1583,3,,,,,,
1591,33,1591,171,1591,3,1591,171,1591,3,,,,
1591,34,1591,171,1591,3,1591,171,1591,3,,,,
1591,35,1591,172,1591,5,1591,172,1591,5,1591,172,1591,5
1591,36,1591,172,1591,5,1591,172,1591,5,1591,172,1591,5
1597,30,1597,3,1597,170,1597,3,1597,170,1597,3,,
1597,31,1597,3,1597,170,1597,3,1597,170,1597,3,,
1608,32,1608,30,,,1608,30,,,1608,30,1608,177
1608,33,1608,30,,,1608,30,,,1608,30,1608,177
1610,31,1610,30,,,1610,30,,,1610,30,1610,2
1611,32,1611,5,1611,172,1611,5,1611,172,,,,
1611,33,1611,174,1611,30,,,,,1611,174,1611,30
1611,34,1611,174,1611,30,,,,,1611,174,1611,30
1611,177,1611,4,1611,175,1611,4,1611,175,,,,
1612,30,1612,170,1612,3,1612,170,1612,171,1612,170,1612,171
1613,36,1613,172,1613,6,1613,172,1613,6,,,,
1613,38,1613,172,1613,6,1613,172,1613,6,,,,
1613,39,1613,7,1613,175,1613,7,1613,175,1613,7,1613,175
1613,41,1613,176,1613,8,1613,176,1613,8,1613,176,1613,8
1613,42,1613,7,1613,175,1613,7,1613,175,1613,7,1613,175
1621,31,1621,3,1621,171,1621,171,1621,3,,,,
1621,32,1621,3,1621,171,1621,171,1621,3,1621,3,1621,171
1624,35,1624,174,1624,21,1624,174,1624,21,,,,
1624,36,1624,3,1624,177,1624,3,1624,177,,,,
1624,37,1624,3,1624,177,1624,3,1624,177,1624,3,1624,177
1627,32,1627,30,1627,170,1627,30,1627,170,1627,30,1627,170
1628,32,1628,4,,,1628,4,,,1628,4,,
1628,33,1628,4,,,1628,4,,,1628,4,,
1632,30,1632,170,1632,1,,,,,,,,
1632,31,1632,170,1632,1,,,,,,,,
1633,174,1633,170,,,1633,170,,,1633,170,,
1633,175,1633,170,,,1633,170,,,1633,170,,
1633,178,1633,177,1633,173,,,,,,,,
1634,32,1634,172,,,1634,172,,,1634,172,1634,174
1634,33,1634,172,,,1634,172,,,1634,172,1634,174
1644,30,1644,4,1644,171,1644,4,1644,171,1644,4,1644,171
1644,32,1644,4,1644,171,1644,4,1644,171,1644,4,1644,171
1645,31,1645,4,1645,170,,,,,1645,4,1645,170
1645,32,1645,4,1645,170,,,,,1645,4,1645,170
1648,32,1648,172,1648,3,1648,172,1648,3,1648,172,1648,3
1648,173,1648,172,1648,3,1648,172,1648,3,1648,172,1648,3
1654,31,1654,170,1654,4,1654,170,1654,4,,,,
1654,32,1654,3,1654,172,1654,172,1654,3,1654,3,1654,172
1663,34,1663,3,1663,170,,,,,,,,
1663,36,1663,5,1663,173,1663,5,1663,173,,,,
1663,37,1663,3,1663,170,1663,3,1663,170,,,,
1663,38,1663,8,,,1663,8,1663,180,,,,
1663,40,1663,9,1663,178,1663,9,1663,178,,,,
1663,41,1663,5,1663,173,1663,5,1663,173,1663,5,1663,173
1663,42,1663,9,1663,178,1663,9,1663,178,,,,
1663,43,1663,7,1663,179,1663,7,1663,179,1663,7,1663,179
1663,46,1663,6,1663,176,1663,6,1663,176,1663,6,1663,176
1670,34,1670,7,1670,172,1670,172,1670,7,,,,
1670,35,1670,30,,,1670,30,,,1670,30,,
1670,36,1670,30,,,1670,30,,,1670,30,,
1679,30,1679,4,,,1679,4,,,1679,175,,
1682,33,1682,4,1682,174,1682,4,1682,174,1682,4,1682,174
1682,34,1682,175,1682,31,1682,175,,,,,,
1682,35,1682,175,1682,31,1682,175,,,,,,
1684,34,1684,6,1684,173,1684,6,1684,173,,,,
1684,35,1684,6,1684,173,1684,6,1684,173,,,,
1684,36,1684,5,1684,176,1684,5,1684,176,,,,
1684,37,1684,5,1684,176,1684,5,1684,176,,,,
1687,31,1687,170,1687,3,1687,170,1687,3,,,,
1690,33,1690,170,1690,3,,,,,,,,
1690,34,1690,170,1690,3,,,,,1690,170,1690,3
1690,35,1690,174,1690,32,1690,174,,,1690,174,1690,175
1690,36,1690,174,1690,32,1690,174,,,1690,174,1690,175
1690,172,1690,171,1690,30,,,,,,,,
1690,173,1690,171,1690,30,1690,30,,,1690,30,1690,178
1692,38,1692,30,,,1692,30,,,1692,30,1692,176
1692,39,1692,30,,,1692,30,,,1692,30,1692,176
1692,40,1692,31,1692,4,1692,31,1692,4,1692,31,,
1695,45,1695,181,1695,3,1695,181,1695,3,,,,
