"","ID","educ","ed","year_meas"
"78870",8931003,12,"12",1992
"78871",8932001,12,"12",1992
"78872",8932002,6,"<12",1992
"78873",8932003,13,"13-15",1992
"78874",8932004,12,"12",1992
"78875",8932005,NA,NA,-1
"78876",8932006,NA,NA,-1
"78877",8932170,12,"12",1990
"78878",8933001,9,"<12",1995
"78879",8933002,9,"<12",1995
"78880",8933003,NA,NA,-1
"78881",8933004,12,"12",1992
"78882",8933005,12,"12",1992
"78883",8933006,NA,NA,-1
"78884",8933007,NA,NA,-1
"78885",8933008,NA,NA,-1
"78886",8933009,NA,NA,-1
"78887",8933010,NA,NA,-1
"78888",8934001,NA,NA,-1
"78889",8934002,12,"12",1995
"78890",8934003,8,"<12",1995
"78891",8934004,NA,NA,-1
"78892",8934030,NA,NA,-1
"78893",8934170,12,"12",1995
"78894",8935001,4,"<12",1995
"78895",8935002,13,"13-15",1995
"78896",8935003,NA,NA,-1
"78897",8936001,12,"12",1991
"78898",8936002,12,"12",1991
"78899",8936003,NA,NA,-1
"78900",8936004,NA,NA,-1
"78901",8936170,NA,NA,-1
"78902",8937001,12,"12",1995
"78903",8937002,NA,NA,-1
"78904",8938001,8,"<12",1994
"78905",8938002,7,"<12",1994
"78906",8938003,NA,NA,-1
"78907",8938004,NA,NA,-1
"78908",8938005,NA,NA,-1
"78909",8938030,NA,NA,-1
"78910",8939001,6,"<12",1991
"78911",8939002,5,"<12",1991
"78912",8939003,10,"<12",1990
"78913",8939004,NA,NA,-1
"78914",8939005,NA,NA,-1
"78915",8939006,NA,NA,-1
"78916",8939007,13,"13-15",1991
"78917",8940001,7,"<12",1995
"78918",8940002,3,"<12",1995
"78919",8940003,NA,NA,-1
"78920",8940004,12,"12",1995
"78921",8940005,NA,NA,-1
"78922",8940006,9,"<12",1995
"78923",8940007,12,"12",1995
"78924",8940008,NA,NA,-1
"78925",8940030,NA,NA,-1
"78926",8940031,NA,NA,-1
"78927",8940032,NA,NA,-1
"78928",8941001,9,"<12",1990
"78929",8941002,13,"13-15",1990
"78930",8941003,NA,NA,-1
"78931",8941004,NA,NA,-1
"78932",8942001,NA,NA,-1
"78933",8943001,6,"<12",1994
"78934",8943002,6,"<12",1994
"78935",8943003,12,"12",1994
"78936",8943004,14,"13-15",1991
"78937",8943005,4,"<12",1994
"78938",8943170,14,"13-15",1994
"78939",8943171,13,"13-15",1994
"78940",8943172,NA,NA,-1
"78941",8944001,NA,NA,-1
"78942",8944002,12,"12",1994
"78943",8944003,NA,NA,-1
"78944",8944004,NA,NA,-1
"78945",8944170,8,"<12",1990
"78946",8944171,3,"<12",1990
"78947",8945001,13,"13-15",1995
"78948",8945002,13,"13-15",1995
"78949",8945003,NA,NA,-1
"78950",8945004,NA,NA,-1
"78951",8945005,NA,NA,-1
"78952",8945006,NA,NA,-1
"78953",8946001,2,"<12",1994
"78954",8946002,14,"13-15",1993
"78955",8946021,NA,NA,-1
"78956",8946170,13,"13-15",1990
"78957",8947001,12,"12",1995
"78958",8947002,7,"<12",1995
"78959",8948001,7,"<12",1993
"78960",8948170,4,"<12",1993
"78961",8948171,NA,NA,-1
"78962",8948172,NA,NA,-1
"78963",8948173,NA,NA,-1
"78964",8948174,NA,NA,-1
"78965",8948175,NA,NA,-1
